EMS_CALL_IDENTIFIER,VQ_COLOR_t1,VQ_COLOR_t2,VQ_COLOR_t3,VQ_COLOR_t4,VQ_COLOR_t5,VQ_COLOR_t6,VQ_COLOR_t7,VQ_COLOR_t8,VQ_COLOR_CALLS
1511424864225,-1,-1,2,2,2,2,2,2,1
1511436421298,-1,-1,3,2,2,2,2,2,0
1511679956010,-1,-1,2,2,2,2,2,2,1
1511682103913,-1,-1,-1,-1,2,2,-1,2,0
1511687237446,-1,-1,-1,-1,2,2,2,2,0
1511689882472,-1,2,2,2,2,-1,2,2,1
1511699577154,-1,-1,2,2,2,2,2,2,1
1511758819586,-1,-1,2,2,2,2,2,2,0
1511769567088,-1,-1,-1,-1,-1,-1,2,2,1
1511769891148,-1,-1,2,2,2,2,2,2,1
1511771130361,-1,-1,2,2,2,2,2,2,0
1511780163367,-1,2,2,-1,3,2,2,2,0
1511784534636,-1,-1,2,-1,2,-1,2,2,1
1511785675622,-1,-1,2,-1,2,-1,2,-1,1
1511786635987,-1,-1,-1,-1,-1,-1,-1,-1,1
1511789279898,-1,-1,2,2,2,2,2,2,1
1511790122652,-1,2,2,-1,2,2,2,2,1
1511794247341,-1,-1,2,2,2,2,2,2,1
1511794354273,-1,-1,2,2,2,2,2,2,0
1511794687803,-1,-1,2,2,2,2,2,2,0
1511794739231,-1,-1,2,2,2,2,2,2,0
1511797550617,-1,-1,-1,-1,2,2,2,2,0
1511847261871,-1,-1,-1,-1,2,2,2,2,1
1511854541708,-1,-1,2,2,2,2,2,2,1
1511856630102,-1,-1,2,2,2,2,2,2,1
1511857024694,-1,-1,3,2,2,2,2,2,1
1511857312743,-1,-1,2,2,2,2,2,2,1
1511864325524,-1,-1,-1,-1,2,2,2,2,0
1511866626742,-1,-1,2,3,3,2,2,2,0
1511871064103,-1,-1,2,2,2,2,2,2,0
1511877827635,-1,-1,3,2,2,2,2,2,1
1511881030470,-1,2,2,-1,2,-1,2,2,0
1511882304587,-1,-1,3,2,2,2,2,2,1
1511940553403,-1,-1,-1,-1,-1,-1,2,2,0
1511942764420,-1,-1,2,2,2,2,2,2,1
1511945555108,-1,2,2,-1,2,2,2,3,1
1511946911563,-1,-1,2,2,2,2,2,2,1
1511948094739,-1,2,2,-1,3,2,2,2,0
1511950599863,-1,-1,-1,-1,-1,2,2,2,1
1511954110055,-1,-1,3,3,-1,2,2,2,0
1511962824933,-1,-1,-1,-1,2,2,2,2,1
1511968666523,-1,-1,2,2,2,2,2,2,0
1511969336142,-1,-1,2,2,2,2,2,2,1
1511975848391,-1,-1,-1,-1,-1,-1,-1,2,1
1511976139748,-1,-1,-1,-1,-1,-1,-1,-1,1
1511976425798,-1,-1,-1,-1,2,2,2,2,1
1511977341862,-1,-1,3,-1,2,2,2,2,1
1512030428292,-1,-1,2,2,2,2,2,2,0
1512030583898,-1,-1,2,2,2,2,2,2,0
1512030873909,-1,-1,2,2,2,2,2,2,0
1512037888230,-1,2,2,2,-1,2,2,2,0
1512042783671,-1,2,2,2,-1,2,2,2,1
1512045139411,-1,-1,-1,-1,-1,-1,2,2,1
1512047559010,-1,-1,2,2,2,2,2,2,0
1512048379906,-1,2,2,-1,2,2,2,2,0
1512287137418,-1,-1,2,2,2,2,2,2,1
1512287434364,-1,-1,2,2,2,2,2,2,1
1512291867452,-1,-1,2,2,2,2,2,2,1
1512292030742,-1,-1,2,2,2,2,2,2,1
1512292441995,-1,-1,2,2,2,2,2,2,1
1512296718730,-1,-1,2,2,2,2,2,2,1
1512296734402,-1,-1,2,2,2,2,2,2,1
1512300346129,-1,2,2,-1,3,2,2,2,1
1512305363990,-1,-1,2,2,-1,2,-1,-1,1
1512305659148,-1,-1,2,2,2,2,2,2,1
1512308094084,-1,-1,2,-1,2,-1,2,3,1
1512308389109,-1,-1,2,2,2,2,2,2,1
1512308684151,-1,-1,2,-1,2,-1,2,3,1
1512309708256,-1,2,2,-1,2,2,2,3,1
1512312216635,-1,2,2,-1,2,-1,2,2,1
1512370807964,-1,-1,-1,-1,2,2,2,2,1
1512373705898,-1,-1,2,2,2,2,2,2,1
1512377361473,-1,-1,-1,-1,2,2,2,2,1
1512378204040,-1,2,2,-1,2,2,2,2,1
1512379241465,-1,-1,2,2,2,2,2,2,1
1512380863994,-1,-1,2,2,2,2,2,2,1
1512394465699,-1,-1,2,2,2,2,2,2,1
1512394796505,-1,-1,2,2,2,2,2,2,1
1512395102713,-1,-1,2,2,2,2,2,2,1
1512455936200,-1,-1,2,2,2,2,2,2,1
