EMS_CALL_IDENTIFIER,VQ_COLOR_t1,VQ_COLOR_t2,VQ_COLOR_t3,VQ_COLOR_t4,VQ_COLOR_CALLS
1507468375109,-1,-1,2,2,1
1507468565566,-1,-1,-1,2,1
1507469794554,-1,-1,2,2,1
1507469795176,-1,-1,2,2,1
1507469857153,-1,-1,-1,-1,1
1507469876691,-1,-1,-1,2,1
1507470602735,-1,-1,2,2,1
1507470720107,-1,-1,2,0,1
1507470728354,-1,-1,-1,1,1
1507470740401,-1,-1,-1,0,1
1507470751801,-1,-1,-1,0,1
1507470759051,-1,-1,2,1,1
1507470768991,-1,-1,2,1,1
1507470772222,-1,-1,2,0,0
1507470801282,-1,3,2,0,0
1507470809746,-1,2,0,0,0
1507470863671,-1,-1,-1,0,0
1507470864429,-1,-1,2,0,0
1507470870750,-1,-1,2,0,0
1507470874601,-1,-1,-1,0,0
1507470891338,-1,-1,-1,2,0
1507471053647,-1,-1,-1,-1,1
1507471061387,-1,-1,-1,1,1
1507471526896,-1,-1,2,2,1
1507472305596,-1,-1,-1,2,1
1507472778926,-1,-1,-1,2,1
1507473579476,-1,-1,-1,0,1
1507473650688,-1,-1,-1,0,0
1507473660806,-1,-1,2,2,0
1507473670336,-1,-1,2,2,0
1507473680585,-1,-1,2,0,0
1507473691521,-1,-1,-1,0,0
1507473703536,-1,-1,2,0,0
1507473703757,-1,-1,2,1,0
1507473711129,-1,-1,-1,0,0
1507473721236,-1,-1,2,0,0
1507473744018,-1,-1,-1,0,0
1507475019744,-1,-1,2,2,1
1507475688471,-1,-1,-1,2,1
1507475825094,-1,1,2,2,1
1507476160457,-1,-1,2,2,0
1507476169941,-1,-1,2,2,0
1507476188461,-1,-1,2,1,0
1507476198622,-1,-1,-1,-1,1
1507476210128,-1,-1,-1,0,0
1507476220279,-1,-1,-1,0,0
1507476220629,-1,-1,2,2,0
1507476231203,-1,-1,2,0,0
1507476239244,-1,-1,-1,-1,0
1507476512819,-1,-1,-1,0,0
1507476522163,-1,-1,-1,-1,1
1507476522822,-1,-1,2,1,0
1507476573029,-1,-1,2,2,1
1507476573609,-1,-1,2,2,1
1507478332426,-1,-1,-1,-1,1
1507478697961,-1,-1,-1,2,0
1507478708443,-1,2,2,1,0
1507478715485,-1,-1,-1,0,1
1507478725746,-1,-1,-1,0,0
1507478729080,-1,-1,-1,0,0
1507478735943,-1,-1,-1,0,0
1507478748473,-1,-1,-1,0,0
1507478749149,-1,1,2,0,0
1507478756137,-1,-1,2,0,0
1507479039279,-1,-1,-1,2,0
1507479071116,-1,-1,-1,2,1
1507479081304,-1,-1,-1,2,1
1507480736546,-1,-1,-1,-1,1
