index,0,1,Color
0,-0.0034641016150869248,8.001408372296366e-38,-1
1,-0.0034641016151374738,-1.0064062507436802e-32,-1
2,-0.0034641016151373506,-4.9157811259003226e-36,-1
3,-0.00346410161513741,-5.031984573789176e-33,3
4,-0.0034641016151372088,1.0064161487316454e-32,-1
5,-0.0034641016151373506,6.41132460336294e-38,3
6,-0.0034641016151373506,6.41132460336294e-38,-1
7,-0.0034641016151373506,6.41132460336294e-38,-1
8,-0.0034641016151373506,6.41132460336294e-38,-1
9,-0.0034641016151373506,6.41132460336294e-38,3
10,-0.0034641016151373506,6.41132460336294e-38,-1
11,-0.0034641016151373506,6.41132460336294e-38,3
12,-0.0034641016151373506,6.41132460336294e-38,-1
13,-0.0034641016151373506,6.41132460336294e-38,3
14,-0.0034641016151373506,6.41132460336294e-38,-1
15,-0.0034641016151373506,6.41132460336294e-38,-1
16,-0.0034641016151373506,6.41132460336294e-38,3
17,-0.0034641016151373506,6.41132460336294e-38,-1
18,-0.0034641016151373506,6.41132460336294e-38,-1
19,-0.0034641016151373506,6.41132460336294e-38,-1
20,-0.0034641016151373506,6.41132460336294e-38,-1
21,-0.0034641016151373506,6.41132460336294e-38,3
22,-0.0034641016151373506,6.41132460336294e-38,-1
23,-0.0034641016151373506,6.41132460336294e-38,-1
24,-0.0034641016151373506,6.41132460336294e-38,-1
25,-0.0034641016151373506,6.41132460336294e-38,-1
26,-0.0034641016151373506,6.41132460336294e-38,-1
27,-0.0034641016151373506,6.41132460336294e-38,-1
28,-0.0034641016151373506,6.41132460336294e-38,-1
29,-0.0034641016151373506,6.41132460336294e-38,3
30,-0.0034641016151373506,6.41132460336294e-38,3
31,-0.0034641016151373506,6.41132460336294e-38,-1
32,-0.0034641016151373506,6.41132460336294e-38,3
33,-0.0034641016151373506,6.41132460336294e-38,3
34,-0.0034641016151373506,6.41132460336294e-38,-1
35,-0.0034641016151373506,6.41132460336294e-38,3
36,-0.0034641016151373506,6.41132460336294e-38,-1
37,-0.0034641016151373506,6.41132460336294e-38,3
